return_id,inspection_date,inspector_id,physical_damage,functional_test,missing_accessories,packaging_damage,water_damage,battery_health,compatibility_verified,fault_confirmed,inspection_notes,inspection_outcome
RET-100001,2025-05-09,INSP-15,False,FAILED,False,False,False,98,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100002,2025-02-25,INSP-15,False,PASSED,True,False,False,88,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100003,2025-03-27,INSP-20,False,PASSED,False,False,False,97,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100004,2025-07-25,INSP-17,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100005,2025-05-11,INSP-19,False,FAILED,False,False,False,96,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100006,2025-09-12,INSP-15,False,PASSED,True,False,False,91,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100007,2025-08-17,INSP-20,False,FAILED,False,False,False,89,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100008,2025-09-02,INSP-12,False,FAILED,False,False,False,99,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100009,2025-01-29,INSP-14,False,PASSED,False,False,False,100,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100010,2025-02-03,INSP-16,False,FAILED,False,False,False,93,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100011,2025-03-13,INSP-15,False,PASSED,False,False,False,85,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100012,2025-03-05,INSP-18,False,PASSED,False,False,False,90,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100013,2025-10-17,INSP-13,False,PASSED,False,False,False,92,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100014,2025-06-23,INSP-19,True,PASSED,False,False,True,93,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100015,2025-06-22,INSP-17,False,PASSED,False,False,False,91,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100016,2025-11-19,INSP-18,False,FAILED,False,False,False,95,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100017,2025-09-23,INSP-17,False,PASSED,False,False,False,91,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100018,2025-03-21,INSP-18,False,FAILED,False,False,False,98,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100019,2025-08-22,INSP-17,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100020,2025-07-23,INSP-13,False,PASSED,False,False,False,97,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100021,2025-01-18,INSP-11,False,PASSED,False,False,False,100,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100022,2025-12-04,INSP-14,False,PASSED,False,False,False,97,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100023,2025-02-26,INSP-15,False,PASSED,False,False,False,90,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100024,2025-08-16,INSP-11,True,PASSED,False,True,False,93,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100025,2025-05-07,INSP-15,False,PASSED,False,False,False,99,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100026,2025-04-11,INSP-19,False,PASSED,False,False,False,86,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100027,2025-11-27,INSP-20,False,FAILED,False,False,False,39,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100028,2025-08-22,INSP-11,False,PASSED,False,False,False,100,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100029,2025-12-29,INSP-15,False,PASSED,False,False,False,94,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100030,2025-10-08,INSP-17,False,PASSED,False,False,False,90,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100031,2025-06-30,INSP-19,False,PASSED,False,False,False,99,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100032,2025-11-20,INSP-15,False,FAILED,False,False,False,89,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100033,2025-08-04,INSP-16,False,PASSED,False,False,False,89,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
