date,scenario,returns_received,staff_available,normal_staff_capacity,processing_capacity,average_processing_minutes,backlog_size,carrier_delay_hours,urgent_demand_index,inspection_capacity,system_status
2025-01-01,NORMAL,30,30,30,60,14,12,0.8,1.0,60,HEALTHY
2025-01-02,DELIVERY_DELAY,71,30,30,60,16,38,27.2,1.0,60,DEGRADED
2025-01-03,NORMAL,36,26,30,60,16,5,1.3,1.0,60,HEALTHY
2025-01-04,DELIVERY_DELAY,72,29,30,60,21,27,28.2,1.0,60,DEGRADED
2025-01-05,NORMAL,57,25,30,60,18,10,1.5,1.0,60,HEALTHY
2025-01-06,NORMAL,34,26,30,60,18,15,0.7,1.0,60,HEALTHY
2025-01-07,NORMAL,41,27,30,60,16,13,1.7,1.0,60,HEALTHY
2025-01-08,DELIVERY_DELAY,67,25,30,60,21,22,31.9,1.0,60,DEGRADED
2025-01-09,CAPACITY_LOSS,59,18,30,35,36,76,1.6,1.0,35,DEGRADED
2025-01-10,NORMAL,51,26,30,60,18,14,2.0,1.0,60,HEALTHY
2025-01-11,CAPACITY_LOSS,67,12,30,35,37,57,2.4,1.0,35,DEGRADED
2025-01-12,CAPACITY_LOSS,45,14,30,35,36,53,3.0,1.0,35,DEGRADED
2025-01-13,DELIVERY_DELAY,71,30,30,60,16,39,34.9,1.0,60,DEGRADED
2025-01-14,NORMAL,37,26,30,60,15,17,0.9,1.0,60,HEALTHY
2025-01-15,URGENT_DEMAND,134,32,30,70,23,101,7.1,2.16,70,HEALTHY
2025-01-16,NORMAL,31,27,30,60,15,13,0.6,1.0,60,HEALTHY
2025-01-17,URGENT_DEMAND,126,30,30,70,23,123,4.4,2.37,70,HEALTHY
2025-01-18,NORMAL,38,26,30,60,13,13,1.6,1.0,60,HEALTHY
2025-01-19,NORMAL,48,28,30,60,14,12,2.0,1.0,60,HEALTHY
2025-01-20,NORMAL,45,25,30,60,18,6,1.8,1.0,60,HEALTHY
2025-01-21,NORMAL,35,30,30,60,15,7,1.1,1.0,60,HEALTHY
2025-01-22,NORMAL,44,29,30,60,14,5,1.5,1.0,60,HEALTHY
2025-01-23,NORMAL,58,29,30,60,18,13,1.7,1.0,60,HEALTHY
2025-01-24,NORMAL,39,28,30,60,13,19,0.5,1.0,60,HEALTHY
2025-01-25,DELIVERY_DELAY,73,27,30,60,17,36,44.9,1.0,60,DEGRADED
2025-01-26,CAPACITY_LOSS,49,18,30,35,31,49,2.1,1.0,35,DEGRADED
2025-01-27,NORMAL,60,29,30,60,12,15,1.2,1.0,60,HEALTHY
2025-01-28,NORMAL,41,27,30,60,13,6,0.9,1.0,60,HEALTHY
2025-01-29,NORMAL,32,25,30,60,17,20,1.7,1.0,60,HEALTHY
2025-01-30,URGENT_DEMAND,124,29,30,70,22,120,7.7,1.25,70,HEALTHY
2025-01-31,NORMAL,49,28,30,60,13,11,1.6,1.0,60,HEALTHY
2025-02-01,NORMAL,51,30,30,60,14,19,1.8,1.0,60,HEALTHY
2025-02-02,NORMAL,37,26,30,60,12,15,0.5,1.0,60,HEALTHY
2025-02-03,NORMAL,48,26,30,60,12,7,1.6,1.0,60,HEALTHY
2025-02-04,NORMAL,32,25,30,60,18,15,0.6,1.0,60,HEALTHY
2025-02-05,NORMAL,51,28,30,60,13,9,1.6,1.0,60,HEALTHY
2025-02-06,CAPACITY_LOSS,58,15,30,35,32,90,2.4,1.0,35,DEGRADED
2025-02-07,NORMAL,33,25,30,60,17,18,1.0,1.0,60,HEALTHY
2025-02-08,NORMAL,57,30,30,60,12,8,0.6,1.0,60,HEALTHY
2025-02-09,DELIVERY_DELAY,75,25,30,60,18,26,18.8,1.0,60,DEGRADED
2025-02-10,NORMAL,43,26,30,60,14,19,0.9,1.0,60,HEALTHY
2025-02-11,URGENT_DEMAND,118,32,30,70,21,66,5.9,1.81,70,HEALTHY
2025-02-12,NORMAL,32,26,30,60,13,18,1.2,1.0,60,HEALTHY
2025-02-13,NORMAL,42,25,30,60,13,17,0.5,1.0,60,HEALTHY
2025-02-14,NORMAL,59,28,30,60,14,18,1.5,1.0,60,HEALTHY
2025-02-15,DELIVERY_DELAY,75,29,30,60,22,24,18.8,1.0,60,DEGRADED
2025-02-16,NORMAL,31,29,30,60,17,6,1.6,1.0,60,HEALTHY
2025-02-17,NORMAL,48,28,30,60,16,10,0.6,1.0,60,HEALTHY
2025-02-18,NORMAL,57,26,30,60,12,7,1.5,1.0,60,HEALTHY
2025-02-19,NORMAL,33,29,30,60,13,6,1.4,1.0,60,HEALTHY
2025-02-20,NORMAL,48,29,30,60,16,15,1.9,1.0,60,HEALTHY
2025-02-21,NORMAL,52,27,30,60,13,13,1.1,1.0,60,HEALTHY
2025-02-22,NORMAL,39,28,30,60,14,7,0.5,1.0,60,HEALTHY
2025-02-23,NORMAL,48,25,30,60,12,11,1.3,1.0,60,HEALTHY
2025-02-24,NORMAL,41,25,30,60,13,16,0.9,1.0,60,HEALTHY
2025-02-25,NORMAL,47,30,30,60,14,5,1.5,1.0,60,HEALTHY
2025-02-26,NORMAL,59,30,30,60,12,9,0.9,1.0,60,HEALTHY
2025-02-27,CAPACITY_LOSS,63,16,30,35,29,57,1.8,1.0,35,DEGRADED
2025-02-28,NORMAL,40,26,30,60,17,13,1.3,1.0,60,HEALTHY
2025-03-01,NORMAL,59,25,30,60,12,18,1.7,1.0,60,HEALTHY
2025-03-02,NORMAL,40,26,30,60,17,13,0.7,1.0,60,HEALTHY
2025-03-03,NORMAL,52,28,30,60,16,5,0.7,1.0,60,HEALTHY
2025-03-04,URGENT_DEMAND,134,29,30,70,28,64,7.0,1.87,70,HEALTHY
