return_id,order_id,customer_id,sku,return_date,purchase_date,return_text,customer_selected_reason,return_type,refund_amount,quantity,store_channel,return_channel,warranty_claim,days_since_purchase,return_status,ground_truth_reason,root_cause_group,preventable,preventable_owner,severity,ground_truth_priority
RET-100001,ORD-514593,CUST-91640,SKU-MIC-1071,2025-05-07,2025-04-28,wifi drops connection constantly,CUSTOMER_DAMAGE,STANDARD_RETURN,531.05,1,MARKETPLACE,LOCKER,False,9,REJECTED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100002,ORD-520380,CUST-104111,SKU-SPE-1087,2025-02-23,2025-02-19,manual missing from package,MISSING_ACCESSORY,STANDARD_RETURN,518.79,1,MARKETPLACE,LOCKER,False,4,APPROVED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3
RET-100003,ORD-559430,CUST-131661,SKU-SMA-1094,2025-03-26,2025-03-13,manual didn't explain installation,SETUP_DIFFICULTY,STANDARD_RETURN,1039.92,1,MARKETPLACE,MAIL,False,13,APPROVED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3
RET-100004,ORD-541246,CUST-103935,SKU-TAB-1128,2025-07-23,2025-06-23,expected usb c but received micro usb,LISTING_MISMATCH,STANDARD_RETURN,1185.22,1,RETAIL_STORE,MAIL,False,30,PENDING_INSPECTION,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2
RET-100005,ORD-578105,CUST-120675,SKU-SMA-1136,2025-05-10,2025-04-21,device stopped turning on after two weeks,SETUP_DIFFICULTY,WARRANTY,520.72,1,MARKETPLACE,LOCKER,True,19,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100006,ORD-569515,CUST-90038,SKU-TAB-1083,2025-09-09,2025-09-07,manual missing from package,MISSING_ACCESSORY,STANDARD_RETURN,934.2,1,MARKETPLACE,MAIL,False,2,PENDING_INSPECTION,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3
RET-100007,ORD-552297,CUST-134020,SKU-POW-1096,2025-08-14,2025-07-15,screen keeps flickering,PRODUCT_DEFECT,STANDARD_RETURN,98.42,2,ONLINE,MAIL,False,30,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100008,ORD-575526,CUST-120977,SKU-HEA-1063,2025-09-01,2025-08-05,power button got stuck,PRODUCT_DEFECT,WARRANTY,1042.22,1,MARKETPLACE,IN_STORE_DROP,True,27,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100009,ORD-558083,CUST-126067,SKU-MIC-1026,2025-01-27,2025-01-05,sound quality not as good as expected,SETUP_DIFFICULTY,STANDARD_RETURN,1163.26,1,ONLINE,IN_STORE_DROP,False,22,PROCESSED,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4
RET-100010,ORD-507666,CUST-127958,SKU-SMA-1139,2025-02-02,2025-01-08,motherboard short circuited,PACKAGING_ISSUE,WARRANTY,198.36,1,ONLINE,IN_STORE_DROP,True,25,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100011,ORD-531286,CUST-107408,SKU-SPE-1102,2025-03-10,2025-02-15,product does not match description,CUSTOMER_DAMAGE,WARRANTY,1029.38,1,RETAIL_STORE,MAIL,True,23,PENDING_INSPECTION,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2
RET-100012,ORD-513578,CUST-98801,SKU-TAB-1068,2025-03-02,2025-01-31,wrong size cable,COMPATIBILITY_ISSUE,WARRANTY,697.32,1,ONLINE,MAIL,True,30,REJECTED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100013,ORD-572310,CUST-136247,SKU-CHA-1110,2025-10-16,2025-10-14,no issue found works as expected,LISTING_MISMATCH,STANDARD_RETURN,559.59,1,ONLINE,IN_STORE_DROP,False,2,PENDING_INSPECTION,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4
RET-100014,ORD-554041,CUST-91625,SKU-SMA-1046,2025-06-21,2025-05-25,spilled coffee on keyboard,CUSTOMER_DAMAGE,STANDARD_RETURN,733.36,1,RETAIL_STORE,IN_STORE_DROP,False,27,APPROVED,CUSTOMER_DAMAGE,CUSTOMER,NO,Customer,LOW,P4
RET-100015,ORD-552387,CUST-134533,SKU-HEA-1138,2025-06-20,2025-06-18,no issu3 found works 4s 3xp3ct3d,NO_FAULT_FOUND,STANDARD_RETURN,501.81,1,MARKETPLACE,MAIL,False,2,REJECTED,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4
RET-100016,ORD-509172,CUST-133532,SKU-KEY-1085,2025-11-17,2025-11-05,speaker produces loud static noise,PRODUCT_DEFECT,STANDARD_RETURN,299.24,1,RETAIL_STORE,LOCKER,False,12,PENDING_INSPECTION,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100017,ORD-557955,CUST-134278,SKU-KEY-1055,2025-09-20,2025-09-03,no issue found works as expected,OTHER,STANDARD_RETURN,1140.8,1,ONLINE,MAIL,False,17,PROCESSED,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4
RET-100018,ORD-564800,CUST-116192,SKU-HEA-1063,2025-03-18,2025-02-24,stopped working after 8 months under warranty,WARRANTY_FAILURE,WARRANTY,1042.22,1,ONLINE,IN_STORE_DROP,True,22,PENDING_INSPECTION,WARRANTY_FAILURE,PRODUCT,YES,Product Team,HIGH,P1
RET-100019,ORD-520862,CUST-138737,SKU-LAP-1122,2025-08-20,2025-08-10,screen brightness too low for outdoor use,LISTING_MISMATCH,STANDARD_RETURN,1136.32,1,MARKETPLACE,MAIL,False,10,PENDING_INSPECTION,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4
RET-100020,ORD-508162,CUST-103556,SKU-HEA-1108,2025-07-20,2025-06-20,returned because changed mind works fine,NO_FAULT_FOUND,STANDARD_RETURN,525.36,1,RETAIL_STORE,LOCKER,False,30,PENDING_INSPECTION,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4
RET-100021,ORD-561262,CUST-98365,SKU-LAP-1137,2025-01-15,2025-01-01,manual didn't explain installation,SETUP_DIFFICULTY,STANDARD_RETURN,897.34,1,RETAIL_STORE,IN_STORE_DROP,False,14,REJECTED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3
RET-100022,ORD-545871,CUST-104695,SKU-HEA-1018,2025-12-01,2025-11-28,no issue found works as expected,MISSING_ACCESSORY,WARRANTY,167.14,1,RETAIL_STORE,MAIL,True,3,PROCESSED,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4
RET-100023,ORD-509962,CUST-128804,SKU-HEA-1063,2025-02-23,2025-01-30,sound qu4lity not 4s good 4s 3xp3ct3d,PERFORMANCE_EXPECTATION,STANDARD_RETURN,1042.22,1,ONLINE,IN_STORE_DROP,False,24,REJECTED,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4
RET-100024,ORD-570540,CUST-121687,SKU-GAM-1120,2025-08-13,2025-07-16,box damaged but product works,SHIPPING_DAMAGE,STANDARD_RETURN,989.56,1,ONLINE,IN_STORE_DROP,False,28,APPROVED,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2
RET-100025,ORD-567716,CUST-102522,SKU-TVS-1022,2025-05-05,2025-04-10,not compatible with iphone,MISSING_ACCESSORY,WARRANTY,653.99,1,MARKETPLACE,LOCKER,True,25,APPROVED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100026,ORD-532952,CUST-105109,SKU-SMA-1031,2025-04-10,2025-03-29,not compatible with iphone,COMPATIBILITY_ISSUE,STANDARD_RETURN,748.97,1,ONLINE,IN_STORE_DROP,False,12,PENDING_INSPECTION,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100027,ORD-538291,CUST-135706,SKU-HEA-1033,2025-11-24,2025-10-26,battery draining very fast,CUSTOMER_ORDER_ERROR,WARRANTY,652.1,1,RETAIL_STORE,MAIL,True,29,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100028,ORD-529582,CUST-124248,SKU-TAB-1098,2025-08-20,2025-08-04,router does not support mesh network,COMPATIBILITY_ISSUE,WARRANTY,507.36,1,MARKETPLACE,MAIL,True,16,PENDING_INSPECTION,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100029,ORD-530341,CUST-108882,SKU-CAB-1073,2025-12-27,2025-11-28,cannot get software setup to complete,SETUP_DIFFICULTY,STANDARD_RETURN,413.63,1,RETAIL_STORE,MAIL,False,29,PROCESSED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3
RET-100030,ORD-552758,CUST-107842,SKU-CAM-1129,2025-10-05,2025-09-18,rout3r do3s not support m3sh n3twork,COMPATIBILITY_ISSUE,STANDARD_RETURN,221.48,1,ONLINE,LOCKER,False,17,APPROVED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100031,ORD-564452,CUST-95980,SKU-SMA-1121,2025-06-29,2025-06-14,bluetooth disconnecting every few minutes,SETUP_DIFFICULTY,STANDARD_RETURN,1099.58,1,RETAIL_STORE,IN_STORE_DROP,False,15,APPROVED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3
RET-100032,ORD-547420,CUST-130805,SKU-TAB-1128,2025-11-18,2025-11-02,wifi drops connection constantly,PRODUCT_DEFECT,STANDARD_RETURN,2370.44,2,ONLINE,LOCKER,False,16,PENDING_INSPECTION,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100033,ORD-566699,CUST-136230,SKU-KEY-1070,2025-08-02,2025-07-05,colour received is red not blue as listed,LISTING_MISMATCH,WARRANTY,29.99,1,RETAIL_STORE,IN_STORE_DROP,True,28,APPROVED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2
RET-100034,ORD-543574,CUST-126171,SKU-CHA-1140,2025-07-14,2025-06-28,battery life shorter than i hoped,PERFORMANCE_EXPECTATION,STANDARD_RETURN,971.56,1,RETAIL_STORE,LOCKER,False,16,PENDING_INSPECTION,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4
RET-100035,ORD-518895,CUST-116869,SKU-KEY-1040,2025-02-09,2025-01-23,glass back panel shattered in delivery,SHIPPING_DAMAGE,STANDARD_RETURN,823.25,1,MARKETPLACE,IN_STORE_DROP,False,17,PROCESSED,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2
RET-100036,ORD-539252,CUST-91898,SKU-SPE-1012,2025-06-17,2025-05-21,power adapter absent from sealed box,MISSING_ACCESSORY,WARRANTY,122.73,1,RETAIL_STORE,LOCKER,True,27,PENDING_INSPECTION,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3
RET-100037,ORD-571644,CUST-100354,SKU-SMA-1019,2025-08-16,2025-08-03,dented casing upon opening package,SHIPPING_DAMAGE,STANDARD_RETURN,859.84,1,RETAIL_STORE,LOCKER,False,13,APPROVED,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2
RET-100038,ORD-579570,CUST-113090,SKU-SPE-1057,2025-11-23,2025-11-15,bluetooth disconnecting every few minutes,SETUP_DIFFICULTY,STANDARD_RETURN,757.7,1,ONLINE,IN_STORE_DROP,False,8,APPROVED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3
RET-100039,ORD-533682,CUST-121579,SKU-SMA-1076,2025-06-24,2025-05-28,no issue found works as expected,NO_FAULT_FOUND,STANDARD_RETURN,363.67,1,ONLINE,IN_STORE_DROP,False,27,PROCESSED,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4
RET-100040,ORD-514202,CUST-134227,SKU-GAM-1060,2025-08-31,2025-08-29,t3st3d fin3 custom3r didn't lik3 color,NO_FAULT_FOUND,STANDARD_RETURN,1030.23,1,ONLINE,MAIL,False,2,PROCESSED,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4
RET-100041,ORD-554936,CUST-128492,SKU-KEY-1040,2025-08-02,2025-07-11,colour received is red not blue as listed,LISTING_MISMATCH,STANDARD_RETURN,823.25,1,MARKETPLACE,IN_STORE_DROP,False,22,APPROVED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2
RET-100042,ORD-502800,CUST-93315,SKU-MIC-1086,2025-05-06,2025-04-30,wifi drops connection constantly,PERFORMANCE_EXPECTATION,STANDARD_RETURN,578.6,2,ONLINE,MAIL,False,6,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100043,ORD-534783,CUST-93435,SKU-HEA-1033,2025-08-05,2025-07-18,motherboard short circuited,PRODUCT_DEFECT,STANDARD_RETURN,1304.2,2,MARKETPLACE,LOCKER,False,18,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100044,ORD-509633,CUST-95295,SKU-TAB-1083,2025-11-09,2025-11-03,glass back panel shattered in delivery,SHIPPING_DAMAGE,WARRANTY,934.2,1,MARKETPLACE,MAIL,True,6,PENDING_INSPECTION,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2
RET-100045,ORD-533409,CUST-114531,SKU-KEY-1040,2025-12-19,2025-12-02,sound quality not as good as expected,CUSTOMER_DAMAGE,STANDARD_RETURN,823.25,1,RETAIL_STORE,IN_STORE_DROP,False,17,REJECTED,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4
RET-100046,ORD-572911,CUST-114089,SKU-GAM-1030,2025-05-24,2025-05-04,received wrong model version,WARRANTY_FAILURE,WARRANTY,720.12,1,ONLINE,IN_STORE_DROP,True,20,APPROVED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2
RET-100047,ORD-512027,CUST-138898,SKU-SMA-1136,2025-04-22,2025-04-08,manual missing from package,MISSING_ACCESSORY,STANDARD_RETURN,520.72,1,ONLINE,LOCKER,False,14,PROCESSED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3
RET-100048,ORD-514535,CUST-108563,SKU-CHA-1125,2025-09-28,2025-09-05,glass back panel shattered in delivery,SHIPPING_DAMAGE,WARRANTY,86.75,1,ONLINE,MAIL,True,23,REJECTED,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2
RET-100049,ORD-505545,CUST-118589,SKU-CHA-1005,2025-08-25,2025-08-21,keyboard won't pair with mac os,COMPATIBILITY_ISSUE,STANDARD_RETURN,879.73,1,RETAIL_STORE,LOCKER,False,4,APPROVED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100050,ORD-544501,CUST-104521,SKU-MIC-1086,2025-03-29,2025-03-25,wifi drops connection constantly,PRODUCT_DEFECT,WARRANTY,289.3,1,RETAIL_STORE,MAIL,True,4,PENDING_INSPECTION,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100051,ORD-542364,CUST-131106,SKU-POW-1081,2025-03-20,2025-03-04,expected usb c but received micro usb,LISTING_MISMATCH,STANDARD_RETURN,300.38,2,RETAIL_STORE,MAIL,False,16,PROCESSED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2
RET-100052,ORD-513567,CUST-112508,SKU-TVS-1022,2025-09-17,2025-08-26,dented casing upon opening package,SHIPPING_DAMAGE,STANDARD_RETURN,653.99,1,MARKETPLACE,LOCKER,False,22,PROCESSED,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2
RET-100053,ORD-576381,CUST-133491,SKU-TVS-1037,2025-06-30,2025-06-19,confusing setup steps device won't pair,SETUP_DIFFICULTY,STANDARD_RETURN,67.24,1,ONLINE,LOCKER,False,11,PROCESSED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3
RET-100054,ORD-563737,CUST-102584,SKU-CAB-1058,2025-03-13,2025-03-07,sound quality not as good as expected,PERFORMANCE_EXPECTATION,STANDARD_RETURN,178.97,1,MARKETPLACE,IN_STORE_DROP,False,6,PENDING_INSPECTION,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4
RET-100055,ORD-558842,CUST-105336,SKU-LAP-1137,2025-05-04,2025-04-23,spilled coffee on keyboard,CUSTOMER_DAMAGE,STANDARD_RETURN,897.34,1,ONLINE,MAIL,False,11,PENDING_INSPECTION,CUSTOMER_DAMAGE,CUSTOMER,NO,Customer,LOW,P4
RET-100056,ORD-521013,CUST-107878,SKU-MIC-1116,2025-09-21,2025-09-15,screen keeps flickering,PRODUCT_DEFECT,STANDARD_RETURN,900.76,1,ONLINE,IN_STORE_DROP,False,6,PENDING_INSPECTION,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100057,ORD-561926,CUST-135618,SKU-POW-1036,2025-12-29,2025-12-12,device stopped turning on after two weeks,PRODUCT_DEFECT,STANDARD_RETURN,256.26,1,RETAIL_STORE,MAIL,False,17,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
