return_id,order_id,customer_id,sku,return_date,purchase_date,return_text,customer_selected_reason,return_type,refund_amount,quantity,store_channel,return_channel,warranty_claim,days_since_purchase,return_status,ground_truth_reason,root_cause_group,preventable,preventable_owner,severity,ground_truth_priority,product_name,brand,product_category,subcategory,model,price,warranty_months,launch_date,weight,colour,battery_capacity,connector_type,operating_system,compatibility,supplier_id,packaging_type,listing_title,listing_description,listed_compatibility,listed_accessories,listed_dimensions,listed_colour,listing_last_updated,content_quality_score,compatibility_information_present,installation_guide_present,image_accuracy_score,viewed_product_page,viewed_compatibility_guide,viewed_size_guide,viewed_manual,contacted_support,support_contact_count,attempted_troubleshooting,replacement_requested,refund_requested,days_before_contact,customer_action_notes,inspection_date,inspector_id,physical_damage,functional_test,missing_accessories,packaging_damage,water_damage,battery_health,compatibility_verified,fault_confirmed,inspection_notes,inspection_outcome,date,scenario,returns_received,staff_available,normal_staff_capacity,processing_capacity,average_processing_minutes,backlog_size,carrier_delay_hours,urgent_demand_index,inspection_capacity,system_status
RET-110166,ORD-571830,CUST-133360,SKU-CAB-1028,2025-12-10,2025-12-06,left earbud stopped working,PRODUCT_DEFECT,STANDARD_RETURN,240.03,1,RETAIL_STORE,LOCKER,False,4,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4,VoltMax Cable 128,VoltMax,Cables,Cables Standard,MOD-2028,240.03,12,2024-05-10,2.94,White,0,USB-C,,Universal,SUP-100,Pouch,VoltMax Cable 128 - High Performance,Official VoltMax Cables with USB-C support.,iOS and Android,"Charger, User Manual, Cable",26x7x1 cm,White,2024-05-10,0.81,True,False,0.92,True,True,True,True,True,1,True,True,False,7,Customer initiated return for PRODUCT_DEFECT,2025-12-13,INSP-12,False,FAILED,False,False,False,87,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-12-10,NORMAL,49.0,30.0,30.0,60.0,17.0,20.0,0.9,1.0,60.0,HEALTHY
RET-110716,ORD-578466,CUST-119629,SKU-ROU-1059,2025-10-10,2025-09-10,display lines appeared after 5 months,WARRANTY_FAILURE,WARRANTY,407.09,1,RETAIL_STORE,IN_STORE_DROP,True,30,APPROVED,WARRANTY_FAILURE,PRODUCT,YES,Product Team,HIGH,P1,UltraLink Router 159,UltraLink,Routers,Routers Standard,MOD-2059,407.09,36,2023-08-01,1.11,Ocean Blue,0,USB-C,,Universal,SUP-106,Reinforced Case,UltraLink Router 159 - High Performance,Official UltraLink Routers with USB-C support.,iOS and Android,"Charger, User Manual, Cable",27x13x5 cm,Ocean Blue,2024-02-26,0.39,True,True,0.65,True,False,True,False,True,1,False,False,True,8,Customer initiated return for WARRANTY_FAILURE,2025-10-13,INSP-12,False,FAILED,False,False,False,91,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-10-10,NORMAL,37.0,25.0,30.0,60.0,14.0,8.0,1.8,1.0,60.0,HEALTHY
RET-110466,ORD-517265,CUST-110713,SKU-SMA-1091,2025-05-31,2025-05-15,mounting screws missing,PERFORMANCE_EXPECTATION,STANDARD_RETURN,697.85,1,MARKETPLACE,LOCKER,False,16,PROCESSED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3,NexusCore Smartphone 191,NexusCore,Smartphones,Smartphones Standard,MOD-2091,697.85,12,2023-08-29,0.99,White,10000,Micro-USB,Android,Specific,SUP-106,Eco Carton,NexusCore Smartphone 191 - High Performance,Official NexusCore Smartphones with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",27x5x4 cm,White,2024-01-23,0.94,True,True,0.97,True,True,True,True,False,2,True,True,True,4,Customer initiated return for MISSING_ACCESSORY,2025-06-02,INSP-14,False,PASSED,True,False,False,100,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory,2025-05-31,NORMAL,32.0,28.0,30.0,60.0,14.0,18.0,1.0,1.0,60.0,HEALTHY
RET-105058,ORD-509463,CUST-103160,SKU-CAM-1024,2025-10-26,2025-10-22,s34l w4s brok3n on d3liv3ry box,PACKAGING_ISSUE,STANDARD_RETURN,963.7,1,MARKETPLACE,LOCKER,False,4,PROCESSED,PACKAGING_ISSUE,LOGISTICS,YES,Warehouse,LOW,P4,OmniGear Camera 124,OmniGear,Cameras,Cameras Standard,MOD-2024,963.7,6,2023-05-08,1.03,Ocean Blue,0,Lightning,,Specific,SUP-102,Eco Carton,OmniGear Camera 124 - High Performance,Official OmniGear Cameras with Lightning support.,iOS and Android,"Charger, User Manual, Cable",12x12x5 cm,Ocean Blue,2024-01-26,0.83,True,True,0.98,True,False,False,True,True,0,True,False,True,6,Customer initiated return for PACKAGING_ISSUE,2025-10-28,INSP-11,False,PASSED,False,True,False,93,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-10-26,NORMAL,55.0,26.0,30.0,60.0,12.0,15.0,1.9,1.0,60.0,HEALTHY
RET-110233,ORD-572636,CUST-121304,SKU-CAB-1013,2025-09-27,2025-08-31,router does not support mesh network,COMPATIBILITY_ISSUE,STANDARD_RETURN,467.22,1,RETAIL_STORE,MAIL,False,27,REJECTED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2,UltraLink Cable 113,UltraLink,Cables,Cables Standard,MOD-2013,467.22,36,2023-09-28,4.86,Midnight Black,0,Micro-USB,,Specific,SUP-110,Box,UltraLink Cable 113 - High Performance,Official UltraLink Cables with Micro-USB support.,iOS and Android,"Charger, User Manual, Cable",13x15x5 cm,Midnight Black,2024-03-09,0.89,True,True,0.99,True,False,False,False,True,0,True,False,True,3,Customer initiated return for COMPATIBILITY_ISSUE,2025-09-28,INSP-18,False,PASSED,False,False,False,87,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue,2025-09-27,NORMAL,54.0,28.0,30.0,60.0,13.0,12.0,2.0,1.0,60.0,HEALTHY
RET-100241,ORD-544931,CUST-132976,SKU-CAM-1084,2025-09-07,2025-08-18,keyboard won't pair with mac os,LISTING_MISMATCH,STANDARD_RETURN,737.41,1,RETAIL_STORE,MAIL,False,20,PENDING_INSPECTION,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2,AeroTech Camera 184,AeroTech,Cameras,Cameras Standard,MOD-2084,737.41,6,2024-04-30,3.17,Space Gray,0,Lightning,,Specific,SUP-110,Box,AeroTech Camera 184 - High Performance,Official AeroTech Cameras with Lightning support.,See Description,"Charger, User Manual, Cable",24x6x2 cm,Space Gray,2024-03-08,0.89,False,True,0.89,True,False,False,False,False,0,True,False,True,2,Customer initiated return for COMPATIBILITY_ISSUE,2025-09-08,INSP-13,False,PASSED,False,False,False,94,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue,2025-09-07,NORMAL,46.0,29.0,30.0,60.0,13.0,16.0,1.0,1.0,60.0,HEALTHY
RET-102811,ORD-562197,CUST-90759,SKU-CHA-1005,2025-06-20,2025-06-14,bent charging pin by forcing cable,CUSTOMER_DAMAGE,STANDARD_RETURN,879.73,1,ONLINE,MAIL,False,6,APPROVED,CUSTOMER_DAMAGE,CUSTOMER,NO,Customer,LOW,P4,AeroTech Charger 105,AeroTech,Chargers,Chargers Standard,MOD-2005,879.73,6,2024-05-13,0.49,Space Gray,0,Bluetooth,,iOS/Android,SUP-113,Reinforced Case,AeroTech Charger 105 - High Performance,Official AeroTech Chargers with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",30x14x3 cm,Space Gray,2024-05-27,0.91,True,True,0.93,True,True,False,False,False,1,False,False,True,10,Customer initiated return for CUSTOMER_DAMAGE,2025-06-22,INSP-12,True,PASSED,False,False,False,94,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage,2025-06-20,NORMAL,46.0,28.0,30.0,60.0,12.0,9.0,1.1,1.0,60.0,HEALTHY
RET-106622,ORD-535351,CUST-95484,SKU-KEY-1115,2025-06-20,2025-05-22,power adapter absent from sealed box,MISSING_ACCESSORY,STANDARD_RETURN,381.09,1,MARKETPLACE,IN_STORE_DROP,False,29,APPROVED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3,AeroTech Keyboard 215,AeroTech,Keyboards,Keyboards Standard,MOD-2115,381.09,36,2023-01-18,1.89,Silver,0,HDMI,,Specific,SUP-101,Pouch,AeroTech Keyboard 215 - High Performance,Official AeroTech Keyboards with HDMI support.,iOS and Android,"Charger, User Manual, Cable",13x12x1 cm,Silver,2024-02-06,0.99,True,True,0.98,True,True,True,True,False,2,False,True,True,6,Customer initiated return for MISSING_ACCESSORY,2025-06-23,INSP-12,False,PASSED,True,False,False,93,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory,2025-06-20,NORMAL,46.0,28.0,30.0,60.0,12.0,9.0,1.1,1.0,60.0,HEALTHY
RET-108004,ORD-505374,CUST-110608,SKU-POW-1066,2025-02-03,2025-01-17,speaker produces loud static noise,PRODUCT_DEFECT,STANDARD_RETURN,297.68,1,RETAIL_STORE,IN_STORE_DROP,False,17,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4,VoltMax Power Bank 166,VoltMax,Power Banks,Power Banks Standard,MOD-2066,297.68,36,2023-12-09,4.74,Ocean Blue,2000,HDMI,,Specific,SUP-111,Pouch,VoltMax Power Bank 166 - High Performance,Official VoltMax Power Banks with HDMI support.,iOS and Android,"Charger, User Manual, Cable",16x6x5 cm,Ocean Blue,2024-06-25,0.99,True,True,0.91,True,False,False,True,False,0,False,True,False,5,Customer initiated return for PRODUCT_DEFECT,2025-02-06,INSP-15,False,FAILED,False,False,False,93,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-02-03,NORMAL,48.0,26.0,30.0,60.0,12.0,7.0,1.6,1.0,60.0,HEALTHY
RET-101163,ORD-570023,CUST-106403,SKU-SMA-1106,2025-12-14,2025-11-29,wrong siz3 c4bl3,COMPATIBILITY_ISSUE,STANDARD_RETURN,1048.77,1,ONLINE,LOCKER,False,15,REJECTED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2,Zenith Smartphone 206,Zenith,Smartphones,Smartphones Standard,MOD-2106,1048.77,6,2023-11-13,3.76,Ocean Blue,5000,Lightning,iOS,Specific,SUP-101,Box,Zenith Smartphone 206 - High Performance,Official Zenith Smartphones with Lightning support.,iOS and Android,"Charger, User Manual, Cable",15x7x1 cm,Ocean Blue,2024-06-05,0.83,True,True,0.97,True,False,True,False,True,2,False,False,True,0,Customer initiated return for COMPATIBILITY_ISSUE,2025-12-15,INSP-17,False,PASSED,False,False,False,89,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue,2025-12-14,DELIVERY_DELAY,58.0,29.0,30.0,60.0,16.0,24.0,47.1,1.0,60.0,DEGRADED
