return_id,viewed_product_page,viewed_compatibility_guide,viewed_size_guide,viewed_manual,contacted_support,support_contact_count,attempted_troubleshooting,replacement_requested,refund_requested,days_before_contact,customer_action_notes
RET-100001,True,True,False,False,True,0,True,True,False,2,Customer initiated return for PRODUCT_DEFECT
RET-100002,True,True,True,True,True,1,True,True,True,3,Customer initiated return for MISSING_ACCESSORY
RET-100003,True,True,True,False,True,2,False,False,True,5,Customer initiated return for SETUP_DIFFICULTY
RET-100004,True,False,True,True,True,0,True,False,True,10,Customer initiated return for LISTING_MISMATCH
RET-100005,True,True,True,False,True,2,True,True,False,2,Customer initiated return for PRODUCT_DEFECT
RET-100006,True,False,True,False,True,2,True,True,True,3,Customer initiated return for MISSING_ACCESSORY
RET-100007,True,True,False,True,True,1,True,True,False,3,Customer initiated return for PRODUCT_DEFECT
RET-100008,True,True,True,True,True,0,True,True,False,4,Customer initiated return for PRODUCT_DEFECT
RET-100009,True,False,False,False,False,2,True,False,True,8,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100010,True,True,True,True,False,2,True,True,False,5,Customer initiated return for PRODUCT_DEFECT
RET-100011,True,False,False,True,False,2,True,False,True,9,Customer initiated return for LISTING_MISMATCH
RET-100012,True,False,False,True,False,0,True,False,True,4,Customer initiated return for COMPATIBILITY_ISSUE
RET-100013,True,True,True,False,True,1,True,False,True,2,Customer initiated return for NO_FAULT_FOUND
RET-100014,True,True,True,True,True,1,False,False,True,1,Customer initiated return for CUSTOMER_DAMAGE
RET-100015,True,True,False,True,True,0,True,False,True,8,Customer initiated return for NO_FAULT_FOUND
RET-100016,True,False,False,True,False,0,True,True,False,9,Customer initiated return for PRODUCT_DEFECT
RET-100017,True,True,True,False,True,0,True,False,True,10,Customer initiated return for NO_FAULT_FOUND
RET-100018,True,False,False,False,True,2,True,False,True,8,Customer initiated return for WARRANTY_FAILURE
RET-100019,True,True,True,False,True,2,False,False,True,6,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100020,True,False,True,False,False,0,False,False,True,10,Customer initiated return for NO_FAULT_FOUND
RET-100021,True,False,False,False,True,4,False,False,True,1,Customer initiated return for SETUP_DIFFICULTY
RET-100022,True,True,False,True,True,1,True,False,True,6,Customer initiated return for NO_FAULT_FOUND
RET-100023,True,True,False,False,True,1,True,False,True,6,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100024,True,True,False,True,False,1,False,True,False,9,Customer initiated return for SHIPPING_DAMAGE
RET-100025,True,False,False,False,False,2,True,False,True,5,Customer initiated return for COMPATIBILITY_ISSUE
RET-100026,True,False,False,True,False,2,True,False,True,4,Customer initiated return for COMPATIBILITY_ISSUE
RET-100027,True,True,True,False,False,0,False,True,False,6,Customer initiated return for PRODUCT_DEFECT
RET-100028,True,False,True,True,True,0,False,False,True,7,Customer initiated return for COMPATIBILITY_ISSUE
RET-100029,True,True,True,False,True,4,False,False,True,9,Customer initiated return for SETUP_DIFFICULTY
RET-100030,True,False,True,True,False,2,True,False,True,4,Customer initiated return for COMPATIBILITY_ISSUE
RET-100031,True,True,False,False,True,2,False,False,True,10,Customer initiated return for SETUP_DIFFICULTY
RET-100032,True,False,True,False,False,0,True,True,False,1,Customer initiated return for PRODUCT_DEFECT
RET-100033,True,True,False,False,True,2,True,False,True,7,Customer initiated return for LISTING_MISMATCH
RET-100034,True,False,True,True,True,2,False,False,True,1,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100035,True,True,True,False,True,2,False,True,False,1,Customer initiated return for SHIPPING_DAMAGE
RET-100036,True,False,True,True,False,1,True,True,True,10,Customer initiated return for MISSING_ACCESSORY
RET-100037,True,False,True,False,False,2,True,True,False,0,Customer initiated return for SHIPPING_DAMAGE
RET-100038,True,False,True,False,True,3,False,False,True,2,Customer initiated return for SETUP_DIFFICULTY
RET-100039,True,False,True,False,False,2,True,False,True,9,Customer initiated return for NO_FAULT_FOUND
RET-100040,True,False,False,True,False,2,False,False,True,7,Customer initiated return for NO_FAULT_FOUND
RET-100041,True,True,False,False,False,0,True,False,True,7,Customer initiated return for LISTING_MISMATCH
RET-100042,True,True,True,True,False,1,True,True,False,3,Customer initiated return for PRODUCT_DEFECT
RET-100043,True,False,True,True,True,1,True,True,False,1,Customer initiated return for PRODUCT_DEFECT
RET-100044,True,False,False,True,False,1,False,True,False,1,Customer initiated return for SHIPPING_DAMAGE
RET-100045,True,True,False,False,False,2,True,False,True,2,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100046,True,False,False,True,False,0,True,False,True,6,Customer initiated return for LISTING_MISMATCH
RET-100047,True,False,False,False,False,1,True,True,True,3,Customer initiated return for MISSING_ACCESSORY
RET-100048,True,False,True,True,False,2,False,True,False,8,Customer initiated return for SHIPPING_DAMAGE
RET-100049,True,False,True,False,True,0,True,False,True,6,Customer initiated return for COMPATIBILITY_ISSUE
RET-100050,True,True,True,True,True,2,True,True,False,9,Customer initiated return for PRODUCT_DEFECT
RET-100051,True,False,False,True,False,2,True,False,True,5,Customer initiated return for LISTING_MISMATCH
RET-100052,True,False,True,False,False,2,False,True,False,4,Customer initiated return for SHIPPING_DAMAGE
RET-100053,True,False,False,False,True,2,False,False,True,5,Customer initiated return for SETUP_DIFFICULTY
RET-100054,True,True,True,True,True,0,True,False,True,10,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100055,True,False,True,False,True,2,True,False,True,8,Customer initiated return for CUSTOMER_DAMAGE
RET-100056,True,True,False,True,True,2,False,True,False,2,Customer initiated return for PRODUCT_DEFECT
RET-100057,True,True,True,True,False,2,True,True,False,1,Customer initiated return for PRODUCT_DEFECT
RET-100058,True,False,False,True,True,1,False,True,False,0,Customer initiated return for SHIPPING_DAMAGE
RET-100059,True,True,False,True,False,0,True,True,False,5,Customer initiated return for PRODUCT_DEFECT
RET-100060,True,False,False,False,True,2,False,True,False,1,Customer initiated return for SHIPPING_DAMAGE
RET-100061,True,False,True,True,True,1,False,False,True,10,Customer initiated return for PACKAGING_ISSUE
RET-100062,True,False,False,False,False,0,False,True,True,2,Customer initiated return for MISSING_ACCESSORY
RET-100063,True,False,True,False,True,0,True,False,True,10,Customer initiated return for OTHER
RET-100064,True,False,True,True,True,2,False,True,True,7,Customer initiated return for MISSING_ACCESSORY
RET-100065,True,True,False,True,True,0,True,True,False,9,Customer initiated return for PRODUCT_DEFECT
RET-100066,True,False,True,False,False,0,True,True,False,2,Customer initiated return for PRODUCT_DEFECT
RET-100067,True,True,False,False,True,5,False,False,True,9,Customer initiated return for SETUP_DIFFICULTY
RET-100068,True,False,False,False,False,0,True,False,True,6,Customer initiated return for OTHER
RET-100069,True,False,False,False,True,0,True,True,False,6,Customer initiated return for PRODUCT_DEFECT
RET-100070,True,False,False,False,True,1,False,False,True,1,Customer initiated return for COMPATIBILITY_ISSUE
RET-100071,True,True,True,True,False,1,False,False,True,2,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100072,True,False,False,True,True,1,True,False,True,3,Customer initiated return for COMPATIBILITY_ISSUE
RET-100073,True,False,True,False,True,2,False,False,True,7,Customer initiated return for CUSTOMER_DAMAGE
RET-100074,True,False,True,True,False,1,True,False,True,3,Customer initiated return for COMPATIBILITY_ISSUE
RET-100075,True,True,True,False,True,0,True,False,True,5,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100076,True,False,False,True,False,0,False,False,True,2,Customer initiated return for CUSTOMER_DAMAGE
RET-100077,True,True,False,False,True,0,True,False,True,7,Customer initiated return for NO_FAULT_FOUND
RET-100078,True,True,True,False,True,3,False,False,True,5,Customer initiated return for SETUP_DIFFICULTY
RET-100079,True,True,False,False,True,2,True,True,False,1,Customer initiated return for PRODUCT_DEFECT
RET-100080,True,False,True,True,True,0,True,False,True,7,Customer initiated return for LISTING_MISMATCH
RET-100081,True,False,True,True,True,1,False,False,True,7,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100082,True,False,False,True,True,2,False,False,True,10,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100083,True,False,True,False,True,1,True,False,True,1,Customer initiated return for LISTING_MISMATCH
RET-100084,True,False,True,False,True,1,False,False,True,7,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100085,True,False,True,True,True,1,False,False,True,9,Customer initiated return for WARRANTY_FAILURE
RET-100086,True,True,False,True,True,0,False,True,False,2,Customer initiated return for PRODUCT_DEFECT
RET-100087,True,False,True,True,True,2,False,False,True,3,Customer initiated return for COMPATIBILITY_ISSUE
RET-100088,True,True,True,True,False,1,True,False,True,5,Customer initiated return for OTHER
RET-100089,True,False,True,True,True,1,True,True,False,8,Customer initiated return for PRODUCT_DEFECT
RET-100090,True,False,False,False,False,2,True,False,True,1,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100091,True,False,True,True,False,2,False,True,False,9,Customer initiated return for PRODUCT_DEFECT
RET-100092,True,False,False,False,True,1,True,False,True,5,Customer initiated return for WARRANTY_FAILURE
RET-100093,True,False,True,False,False,1,True,True,False,4,Customer initiated return for PRODUCT_DEFECT
RET-100094,True,False,False,False,False,1,False,False,True,10,Customer initiated return for COMPATIBILITY_ISSUE
RET-100095,True,False,True,True,True,2,True,False,True,6,Customer initiated return for COMPATIBILITY_ISSUE
RET-100096,True,False,False,True,False,2,False,False,True,4,Customer initiated return for COMPATIBILITY_ISSUE
RET-100097,True,True,True,False,True,4,False,False,True,8,Customer initiated return for SETUP_DIFFICULTY
RET-100098,True,False,False,True,False,1,True,False,True,7,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100099,True,True,False,False,False,2,True,True,False,10,Customer initiated return for PRODUCT_DEFECT
RET-100100,True,False,False,True,False,0,True,False,True,3,Customer initiated return for COMPATIBILITY_ISSUE
RET-100101,True,True,False,True,True,2,False,False,True,3,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100102,True,False,False,True,False,2,False,False,True,4,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100103,True,False,False,True,True,0,True,True,False,4,Customer initiated return for PRODUCT_DEFECT
RET-100104,True,False,False,False,True,0,False,False,True,10,Customer initiated return for COMPATIBILITY_ISSUE
RET-100105,True,True,False,False,True,4,False,False,True,3,Customer initiated return for SETUP_DIFFICULTY
RET-100106,True,True,True,True,False,1,False,False,True,2,Customer initiated return for LISTING_MISMATCH
RET-100107,True,False,False,False,True,0,False,False,True,1,Customer initiated return for COMPATIBILITY_ISSUE
RET-100108,True,True,True,False,True,5,False,False,True,10,Customer initiated return for SETUP_DIFFICULTY
RET-100109,True,False,False,False,True,5,False,False,True,1,Customer initiated return for SETUP_DIFFICULTY
RET-100110,True,False,True,True,True,2,False,False,True,7,Customer initiated return for COMPATIBILITY_ISSUE
RET-100111,True,True,False,True,False,1,True,True,False,9,Customer initiated return for SHIPPING_DAMAGE
RET-100112,True,False,True,False,False,2,True,True,True,2,Customer initiated return for MISSING_ACCESSORY
RET-100113,True,True,True,True,True,0,False,False,True,5,Customer initiated return for PACKAGING_ISSUE
RET-100114,True,True,False,True,True,0,True,False,True,2,Customer initiated return for NO_FAULT_FOUND
RET-100115,True,False,False,False,False,0,False,True,False,10,Customer initiated return for PRODUCT_DEFECT
RET-100116,True,False,True,True,False,0,True,False,True,3,Customer initiated return for NO_FAULT_FOUND
RET-100117,True,False,False,False,False,2,True,False,True,5,Customer initiated return for CUSTOMER_DAMAGE
RET-100118,True,True,False,False,False,1,False,True,False,9,Customer initiated return for SHIPPING_DAMAGE
RET-100119,True,False,True,True,True,1,False,False,True,2,Customer initiated return for CUSTOMER_DAMAGE
RET-100120,True,True,True,True,False,1,False,True,True,9,Customer initiated return for MISSING_ACCESSORY
RET-100121,True,False,True,True,True,2,True,False,True,10,Customer initiated return for WARRANTY_FAILURE
RET-100122,True,True,True,False,True,2,False,False,True,9,Customer initiated return for CUSTOMER_DAMAGE
RET-100123,True,True,False,False,True,0,True,True,False,7,Customer initiated return for PRODUCT_DEFECT
RET-100124,True,True,True,False,True,2,True,True,False,0,Customer initiated return for SHIPPING_DAMAGE
RET-100125,True,True,True,False,False,0,False,False,True,10,Customer initiated return for NO_FAULT_FOUND
RET-100126,True,False,True,False,False,1,False,False,True,4,Customer initiated return for LISTING_MISMATCH
RET-100127,True,False,False,True,False,2,False,False,True,9,Customer initiated return for COMPATIBILITY_ISSUE
RET-100128,True,False,False,False,True,0,True,True,False,9,Customer initiated return for PRODUCT_DEFECT
RET-100129,True,False,True,True,True,1,True,False,True,9,Customer initiated return for WARRANTY_FAILURE
RET-100130,True,True,True,False,True,1,True,True,False,5,Customer initiated return for SHIPPING_DAMAGE
RET-100131,True,True,True,True,True,0,False,False,True,0,Customer initiated return for CUSTOMER_DAMAGE
RET-100132,True,False,True,False,False,2,True,True,False,3,Customer initiated return for PRODUCT_DEFECT
RET-100133,True,False,False,False,False,0,True,False,True,10,Customer initiated return for NO_FAULT_FOUND
RET-100134,True,True,True,True,True,2,True,True,False,5,Customer initiated return for SHIPPING_DAMAGE
RET-100135,True,False,True,False,False,1,True,True,False,8,Customer initiated return for PRODUCT_DEFECT
RET-100136,True,True,False,False,False,0,False,False,True,3,Customer initiated return for LISTING_MISMATCH
RET-100137,True,False,False,False,True,1,False,False,True,8,Customer initiated return for OTHER
RET-100138,True,False,True,False,True,1,False,True,False,3,Customer initiated return for SHIPPING_DAMAGE
RET-100139,True,True,True,True,False,1,False,False,True,4,Customer initiated return for LISTING_MISMATCH
RET-100140,True,False,True,False,True,1,False,False,True,8,Customer initiated return for COMPATIBILITY_ISSUE
RET-100141,True,False,False,False,False,0,True,True,False,0,Customer initiated return for PRODUCT_DEFECT
RET-100142,True,False,False,False,False,1,True,True,False,7,Customer initiated return for PRODUCT_DEFECT
RET-100143,True,False,True,False,False,0,False,False,True,5,Customer initiated return for COMPATIBILITY_ISSUE
RET-100144,True,True,True,False,True,0,False,False,True,7,Customer initiated return for LISTING_MISMATCH
RET-100145,True,False,True,True,True,2,True,True,False,10,Customer initiated return for SHIPPING_DAMAGE
RET-100146,True,False,False,False,True,1,True,False,True,0,Customer initiated return for CUSTOMER_DAMAGE
RET-100147,True,False,False,True,True,1,False,False,True,0,Customer initiated return for WARRANTY_FAILURE
RET-100148,True,True,False,False,True,2,True,True,False,8,Customer initiated return for PRODUCT_DEFECT
RET-100149,True,False,False,False,True,2,False,False,True,8,Customer initiated return for SETUP_DIFFICULTY
RET-100150,True,False,True,False,True,0,True,True,False,6,Customer initiated return for PRODUCT_DEFECT
RET-100151,True,False,True,True,False,0,True,False,True,1,Customer initiated return for CUSTOMER_DAMAGE
RET-100152,True,False,True,False,True,0,True,True,False,8,Customer initiated return for SHIPPING_DAMAGE
RET-100153,True,False,True,False,True,3,False,False,True,0,Customer initiated return for SETUP_DIFFICULTY
RET-100154,True,True,True,True,True,1,True,True,True,3,Customer initiated return for MISSING_ACCESSORY
RET-100155,True,True,True,True,True,0,False,True,False,8,Customer initiated return for PRODUCT_DEFECT
RET-100156,True,True,True,False,True,2,False,False,True,0,Customer initiated return for SETUP_DIFFICULTY
RET-100157,True,True,False,True,False,0,False,False,True,9,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100158,True,True,True,False,False,1,False,False,True,5,Customer initiated return for PACKAGING_ISSUE
RET-100159,True,True,True,False,True,2,True,False,True,2,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100160,True,False,False,True,False,1,False,False,True,4,Customer initiated return for LISTING_MISMATCH
RET-100161,True,False,False,True,True,1,True,True,False,3,Customer initiated return for PRODUCT_DEFECT
RET-100162,True,False,False,False,False,0,True,True,False,6,Customer initiated return for PRODUCT_DEFECT
RET-100163,True,False,True,True,True,1,True,False,True,7,Customer initiated return for WARRANTY_FAILURE
RET-100164,True,False,False,True,True,0,True,False,True,9,Customer initiated return for COMPATIBILITY_ISSUE
RET-100165,True,False,False,True,False,1,True,False,True,3,Customer initiated return for COMPATIBILITY_ISSUE
RET-100166,True,False,False,False,True,1,True,False,True,6,Customer initiated return for CUSTOMER_DAMAGE
RET-100167,True,False,True,True,False,2,False,False,True,0,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100168,True,False,False,True,False,2,True,False,True,8,Customer initiated return for COMPATIBILITY_ISSUE
RET-100169,True,True,True,False,True,4,False,False,True,8,Customer initiated return for SETUP_DIFFICULTY
RET-100170,True,False,False,False,True,1,True,True,False,7,Customer initiated return for PRODUCT_DEFECT
RET-100171,True,True,True,False,False,0,True,False,True,4,Customer initiated return for OTHER
RET-100172,True,False,False,False,False,2,True,True,False,7,Customer initiated return for SHIPPING_DAMAGE
RET-100173,True,True,True,True,False,0,False,False,True,9,Customer initiated return for LISTING_MISMATCH
RET-100174,True,False,False,True,False,2,False,True,False,0,Customer initiated return for PRODUCT_DEFECT
RET-100175,True,False,False,False,True,1,False,False,True,6,Customer initiated return for LISTING_MISMATCH
RET-100176,True,False,False,False,True,0,False,False,True,5,Customer initiated return for NO_FAULT_FOUND
RET-100177,True,True,True,False,False,0,True,False,True,7,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100178,True,False,False,False,True,2,True,False,True,8,Customer initiated return for WARRANTY_FAILURE
RET-100179,True,False,False,False,True,2,True,False,True,7,Customer initiated return for COMPATIBILITY_ISSUE
RET-100180,True,False,False,False,False,0,False,False,True,4,Customer initiated return for LISTING_MISMATCH
RET-100181,True,True,False,False,False,1,True,True,False,7,Customer initiated return for PRODUCT_DEFECT
RET-100182,True,True,True,False,False,1,True,True,False,2,Customer initiated return for PRODUCT_DEFECT
RET-100183,True,True,True,False,True,0,False,True,True,1,Customer initiated return for MISSING_ACCESSORY
RET-100184,True,True,False,False,True,4,False,False,True,2,Customer initiated return for SETUP_DIFFICULTY
RET-100185,True,False,False,True,True,2,False,True,False,2,Customer initiated return for PRODUCT_DEFECT
RET-100186,True,True,True,True,False,0,False,True,False,10,Customer initiated return for PRODUCT_DEFECT
RET-100187,True,False,True,False,True,4,False,False,True,8,Customer initiated return for SETUP_DIFFICULTY
RET-100188,True,False,False,True,False,0,True,True,True,8,Customer initiated return for MISSING_ACCESSORY
RET-100189,True,False,False,False,True,0,True,False,True,4,Customer initiated return for OTHER
RET-100190,True,True,False,False,False,1,True,False,True,3,Customer initiated return for NO_FAULT_FOUND
RET-100191,True,False,True,True,True,2,True,False,True,9,Customer initiated return for WARRANTY_FAILURE
RET-100192,True,True,False,False,True,0,False,True,False,1,Customer initiated return for PRODUCT_DEFECT
RET-100193,True,True,False,False,False,2,False,False,True,1,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100194,True,True,True,True,False,2,False,False,True,2,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100195,True,False,True,False,False,1,False,False,True,9,Customer initiated return for COMPATIBILITY_ISSUE
RET-100196,True,False,True,True,True,0,True,False,True,7,Customer initiated return for WARRANTY_FAILURE
RET-100197,True,True,True,False,True,2,False,True,False,6,Customer initiated return for PRODUCT_DEFECT
RET-100198,True,False,True,False,False,2,True,False,True,1,Customer initiated return for COMPATIBILITY_ISSUE
RET-100199,True,True,True,True,True,1,False,False,True,7,Customer initiated return for WARRANTY_FAILURE
RET-100200,True,True,False,False,True,1,True,False,True,6,Customer initiated return for LISTING_MISMATCH
RET-100201,True,True,True,False,False,1,True,False,True,4,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100202,True,False,True,False,False,1,True,False,True,2,Customer initiated return for LISTING_MISMATCH
RET-100203,True,False,False,False,True,1,False,False,True,2,Customer initiated return for NO_FAULT_FOUND
RET-100204,True,True,False,True,False,0,False,False,True,5,Customer initiated return for LISTING_MISMATCH
RET-100205,True,True,False,False,False,1,True,False,True,6,Customer initiated return for OTHER
RET-100206,True,False,False,False,True,2,True,True,False,8,Customer initiated return for PRODUCT_DEFECT
RET-100207,True,True,True,False,False,0,False,True,False,8,Customer initiated return for PRODUCT_DEFECT
RET-100208,True,False,False,False,False,1,True,False,True,0,Customer initiated return for COMPATIBILITY_ISSUE
RET-100209,True,True,True,False,True,1,True,False,True,4,Customer initiated return for CUSTOMER_DAMAGE
RET-100210,True,False,True,True,True,2,True,True,False,2,Customer initiated return for PRODUCT_DEFECT
RET-100211,True,True,True,False,False,1,True,True,False,10,Customer initiated return for PRODUCT_DEFECT
RET-100212,True,False,True,True,False,2,False,True,False,6,Customer initiated return for PRODUCT_DEFECT
RET-100213,True,False,True,True,False,2,False,False,True,5,Customer initiated return for CUSTOMER_DAMAGE
RET-100214,True,True,False,False,False,1,False,True,True,3,Customer initiated return for MISSING_ACCESSORY
RET-100215,True,False,True,False,False,1,False,False,True,1,Customer initiated return for OTHER
RET-100216,True,False,False,True,True,2,True,False,True,6,Customer initiated return for CUSTOMER_DAMAGE
RET-100217,True,False,True,True,False,0,True,False,True,5,Customer initiated return for NO_FAULT_FOUND
RET-100218,True,True,False,False,True,1,False,False,True,6,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100219,True,False,True,True,False,2,True,False,True,10,Customer initiated return for LISTING_MISMATCH
RET-100220,True,False,True,False,True,2,False,False,True,4,Customer initiated return for LISTING_MISMATCH
RET-100221,True,False,True,True,False,0,True,True,False,9,Customer initiated return for SHIPPING_DAMAGE
RET-100222,True,False,False,False,False,2,False,False,True,6,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100223,True,True,False,True,False,0,True,False,True,1,Customer initiated return for NO_FAULT_FOUND
RET-100224,True,True,True,False,True,2,True,True,False,2,Customer initiated return for SHIPPING_DAMAGE
RET-100225,True,False,False,True,True,1,True,False,True,4,Customer initiated return for WARRANTY_FAILURE
RET-100226,True,True,True,True,True,1,False,True,False,5,Customer initiated return for PRODUCT_DEFECT
RET-100227,True,False,True,True,False,1,False,False,True,1,Customer initiated return for CUSTOMER_ORDER_ERROR
RET-100228,True,False,False,False,True,2,False,False,True,8,Customer initiated return for SETUP_DIFFICULTY
RET-100229,True,False,True,False,True,2,False,False,True,10,Customer initiated return for LISTING_MISMATCH
RET-100230,True,False,True,True,False,0,True,True,False,9,Customer initiated return for PRODUCT_DEFECT
RET-100231,True,False,True,True,True,2,True,False,True,4,Customer initiated return for COMPATIBILITY_ISSUE
RET-100232,True,True,True,True,True,0,True,False,True,8,Customer initiated return for LISTING_MISMATCH
RET-100233,True,True,True,True,False,0,True,False,True,1,Customer initiated return for PERFORMANCE_EXPECTATION
RET-100234,True,False,True,False,True,0,False,False,True,9,Customer initiated return for WARRANTY_FAILURE
RET-100235,True,True,True,True,False,2,True,True,False,3,Customer initiated return for SHIPPING_DAMAGE
RET-100236,True,False,False,True,False,0,False,False,True,0,Customer initiated return for COMPATIBILITY_ISSUE
RET-100237,True,False,True,False,True,2,False,False,True,6,Customer initiated return for SETUP_DIFFICULTY
RET-100238,True,False,True,False,True,2,False,False,True,8,Customer initiated return for SETUP_DIFFICULTY
